match_id,win_radiant,first_roshan_team,first_roshan_time,first_tower_team,first_tower_time,wisdom_7m_rad,wisdom_7m_dire,first_shard_team,first_shard_time,rad_power_runes_10m
8749530326,0,1,1681,1,616,0,0,1,1126,8
8749463873,1,-1,0,1,541,0,0,0,919,11
8749454702,0,-1,0,1,538,0,0,1,907,4
8749440696,0,1,1385,1,537,0,0,0,1004,5
8749433933,1,0,1076,1,657,0,0,0,1286,6
8749401157,1,1,1154,1,637,0,0,1,1046,6
8749367028,0,1,1560,1,541,0,0,0,1536,6
8749317442,1,0,1751,1,679,0,0,0,1046,7
8749309716,1,0,1572,1,444,0,0,1,902,11
8749299001,1,0,1604,1,734,0,0,0,1218,7
8749296182,0,1,1599,1,546,0,0,1,1877,5
8749292870,0,1,1717,1,762,0,0,1,900,11
8749290937,1,0,1484,1,701,0,0,0,958,9
8749282562,1,-1,0,1,690,0,0,1,1369,8
8749187348,0,0,2132,1,500,0,0,0,1083,8
8749147435,1,0,1384,1,575,0,0,1,952,4
8749140718,0,1,1375,1,717,0,0,1,1197,6
8749133252,1,-1,0,1,616,0,0,0,900,9
8749127626,0,0,1602,1,853,0,0,1,900,4
8749126860,0,1,1512,1,606,0,0,1,1316,8
8749124693,0,1,1455,1,665,0,0,0,1064,3
8749124621,1,0,1626,1,688,0,0,0,900,10
8749124403,1,0,1911,1,660,0,0,0,1023,9
8749124345,1,-1,0,1,522,0,0,1,1083,7
8749123972,1,-1,0,1,439,0,0,0,1180,7
8749119981,1,-1,0,1,388,0,0,1,931,12
8749102310,0,0,1310,1,537,0,0,1,909,5
8749092500,0,0,1439,1,550,0,0,0,1155,8
8749005585,1,-1,0,1,634,0,0,0,1094,9
8749004525,0,-1,0,1,454,0,0,1,967,4
8748997250,1,-1,0,1,606,0,0,-1,2400,10
8748993823,0,1,1420,1,570,0,0,1,1054,6
8748993377,1,0,1346,1,599,0,0,0,962,7
8748989334,0,-1,0,1,395,0,0,1,1073,2
8748988994,0,1,2351,1,763,0,0,0,1265,5
8748988858,0,1,1502,1,912,0,0,1,2006,4
8748987284,1,0,1609,1,884,0,0,0,957,7
8748987175,0,1,1615,1,656,0,0,0,910,7
8748986679,0,1,2229,1,913,0,0,1,1920,12
8748985791,1,0,959,1,566,0,0,0,1019,8
8748984652,1,-1,0,1,398,0,0,1,900,8
8748984145,0,1,1139,1,574,0,0,1,900,7
8748983971,1,-1,0,1,439,0,0,0,901,9
8748983797,0,0,1872,1,761,0,0,1,1155,7
8748983690,0,1,1339,1,613,0,0,1,900,7
8748983682,1,1,1745,1,677,0,0,1,1109,9
8748983086,1,0,1839,1,599,0,0,0,915,7
8748962660,1,-1,0,1,512,0,0,0,904,5
8748935977,0,1,1449,1,694,0,0,0,1063,8
8748904227,0,1,1488,1,610,0,0,1,1099,12
8748880560,0,1,1600,1,705,0,0,1,1054,3
8748838607,1,1,1642,1,790,0,0,1,955,4
8748816019,0,-1,0,1,634,0,0,1,909,5
8748777873,1,0,1498,1,557,0,0,0,916,9
8748759002,1,0,1412,1,676,0,0,1,1088,7
8748726162,0,-1,0,1,867,0,0,0,1018,6
8748714132,1,0,1304,1,598,0,0,1,992,7
8748701183,1,0,1722,1,464,0,0,1,1114,9
8748684403,0,-1,0,1,754,0,0,1,1241,8
8748666605,1,0,1096,1,858,0,0,1,1232,9
8748636158,0,-1,0,1,737,0,0,1,1023,4
8748626074,1,0,1204,1,573,0,0,1,1450,11
8748615379,0,1,1607,1,679,0,0,0,1008,7
8748590365,1,0,1445,1,566,0,0,1,1220,5
8748589867,1,0,1311,1,764,0,0,1,901,3
8748564044,1,0,1379,1,692,0,0,1,1048,8
8748556960,1,0,1186,1,645,0,0,0,900,9
8748550719,1,0,1688,1,433,0,0,0,1166,6
8748527298,1,0,1586,1,782,0,0,1,928,5
8748503689,1,0,1280,1,716,0,0,0,1287,8
8748473200,0,1,1736,1,719,0,0,1,1231,4
8748268838,0,1,1123,1,423,0,0,1,1497,10
8748247022,1,0,1792,1,743,0,0,1,1684,4
8748186049,0,1,1699,1,687,0,0,0,900,7
